1
I12 N8
G9 B5
L11 E12
F8 A2
E12 F9
E3 I11
D5 L8
G1 G11
I12 M3
G11 I4
D5 E6
I4 F4
D5 C7
B5 M7
I12 D1
F6 A4
D5 E1
E3 B9
I12 C6
E3 I5
F9 L2
F4 C10
D5 F11
M7 F2
D5 A7
F2 I4
D5 B7
G5 H5
I12 G3
C10 L10
D5 H6
I4 C4
I12 N9
F6 N9
I12 A6
H5 D12
I12 L4
L10 I5
L2 E1
D12 I3
E8 H11
I5 D7
E1 M4
I3 B8
E8 L12
C4 M3
D5 E7
F6 N7
D5 N12
M3 F9
D5 H11
B8 L9
D5 N6
F8 D11
M4 F9
D7 H12
I12 D9
H12 B5
I12 E5
E3 F5
E8 I7
E3 D5
F9 I11
F8 D7
E8 N1
B5 H1
D5 H3
H1 D12
D5 E12
D12 L10
D5 H12
F9 C7
D5 A6
C7 L6
I11 H3
F8 I6
H3 D10
E3 B3
I12 A11
L10 F1
E8 D12
E3 B3
D5 H7
F8 B8
I12 F5
F1 B5
E8 M5
F8 D10
D5 A2
L9 I9
I12 D8
B5 F4
D5 H12
I9 I3
D10 G11
L6 H1
G11 C12
I3 C1
C12 G9
C1 I5
I12 I7
I5 F9
E8 C3
H1 L11
G9 D1
F9 F11
I12 I8
F4 D2
D5 D11
D2 B5
E8 F4
B5 D9
D5 F1
F8 D3
D1 F4
L11 E2
F4 H1
F8 C9
I12 B2
F8 H9
H1 D2
F11 G7
I12 L6
D9 B8
E8 F6
E2 G12
D5 N10
B8 M8
E8 M7
G7 L7
D5 G4
M8 D10
E8 A8
F6 G10
I12 A3
G12 G12
D2 D12
G12 G9
E8 M8
E3 B7
D5 N5
E3 A3
D12 L3
L7 F5
D5 D4
F8 I7
L3 E2
F5 M1
E2 B2
F8 H6
E8 L8
F8 B8
I12 H12
E3 A7
B2 L9
E3 I4
D5 G1
D10 B6
I12 H3
F8 G2
E8 G9
G9 I3
I12 N4
M1 L11
I12 L7
B6 D10
I12 E6
I3 M3
L9 E12
F8 E8
E12 B1
E3 L9
E8 F6
E3 F6
E8 B7
L11 M12
E8 E11
F8 N7
D5 C4
D10 H7
I12 F12
F6 C5
E8 A10
M3 I3
D5 A9
F6 N8
B1 H1
F8 E2
I12 D8
I3 I4
D5 F11
F6 I4
H1 H4
H7 F10
I12 H4
F6 L8
D5 B5
F6 E5
E8 B5
F10 E11
D5 N9
E3 F9
D5 L5
M12 D1
D5 A5
F6 B4
H4 M8
I4 I1
D5 E7
E11 E7
E8 N10
I1 G4
I12 A11
E3 F8
I12 L7
F6 E7
M8 L9
D1 G2
E8 B11
F8 D10
D5 H1
F8 A6
I12 H12
E7 D1
E8 G9
G2 B7
E8 D2
F8 M8
D5 F11
F6 G11
L9 G11
E3 B8
G11 B12
E3 M6
E8 A5
D1 M2
E8 B3
F6 B1
E8 B7
F6 B3
E8 D2
M2 C2
E8 G1
E3 L12
B12 G6
C2 L11
I12 L12
G4 I4
E8 M3
B7 H10
D5 L3
H10 F2
I12 H7
F6 C6
I12 G7
L11 L6
G6 G10
F8 I11
G10 C1
L6 L1
I12 H12
E3 H1
D5 C12
E3 F5
E8 F10
I4 F10
I12 B5
E3 F2
E8 M2
E3 C8
E8 I2
E3 C11
C1 C11
F8 M12
E8 C8
F2 D7
D5 L3
E3 G12
I12 C11
L1 I11
C11 G11
I11 L1
E8 L7
L1 L8
E8 B10
D7 D5
E8 B6
E3 F6
D5 L12
E3 F1
D5 E2
F6 G5
D5 G8
L8 F2
G11 D2
F10 C7
D5 E10
F8 H1
I12 G4
F2 M9
D5 B6
F8 I4
E8 C12
