A8 E8
I9 M2
F6 H9
I9 C8
H4 B9
C9 M7
B9 G5
I2 H4
F6 I11
I2 M7
B4 L6
M7 I5
F6 C9
I5 C10
G5 D9
I4 I5
D9 N9
I9 C5
H10 M8
I2 G1
F6 L3
I9 H4
B4 A4
I2 H6
B4 G3
D5 D9
E8 I7
I5 B4
I7 F2
I9 M11
B4 E4
D5 I6
F2 C8
I2 H11
B4 H6
B8 H3
H10 A6
I9 I11
H10 B9
H3 M9
H10 M11
D5 D9
F6 I6
D5 N7
H10 N2
D5 C12
B4 I3
M9 B1
H10 I12
D5 F2
N9 G3
I2 E9
G3 E7
D5 I10
B4 N1
C10 D8
E7 H4
I2 H5
F6 N4
B4 M7
C8 I3
B1 B8
B4 B7
B8 N10
B4 M8
I2 B8
I3 I7
M7 H5
H4 A8
D8 B3
B4 A2
D5 N12
A8 L4
I9 A7
H10 N7
I2 N3
B4 C6
B3 B8
B4 A9
I2 L4
L4 E8
B8 F8
H10 D6
H5 B3
H10 N3
D5 A8
F6 F4
I2 I1
H10 E9
F8 D8
H10 N6
N10 I3
H10 H12
B3 G10
F6 B7
G10 F1
E8 N6
D5 D1
I7 D6
I9 H11
H10 A6
F1 H4
N6 I8
I2 E2
I8 C4
H4 B4
B4 D3
D5 M4
H10 C5
B4 I6
F6 E11
I2 E9
F6 H3
I9 L9
H10 L9
D8 B9
B4 M12
D5 C11
C4 E6
I3 F5
E6 I2
I9 A6
D6 B9
F5 G12
B4 A4
B9 F3
F6 A10
F3 I12
F6 M2
G12 G12
F6 G7
G12 M8
F6 F4
I12 E10
B9 D2
I2 H10
D2 E7
I2 A1
H10 G10
E10 M5
H10 M2
I9 D3
I2 G2
M5 L5
F6 F6
L5 G10
H10 E10
D5 D5
H10 F4
G10 F10
F6 B12
D5 B10
B4 F11
I6 H12
F6 I12
F10 F8
B4 I12
I2 C11
F6 I4
I9 B11
H10 E11
M8 A1
H10 B3
D5 N8
E7 D11
F8 C1
H10 D10
I2 H8
B4 E11
I2 I4
H10 N4
A1 N4
G2 N10
I9 D7
H10 D2
H12 L4
H10 E4
C1 B4
B4 A8
I2 I11
B4 C4
I2 L2
N10 L8
L4 E12
B4 G3
B4 G4
H10 I11
D5 L10
D11 M7
D5 C2
M7 L4
D5 E12
